,Unnamed: 0,user_id,content_id,loc,weekdays/weekends,gender,profession,age,age_category,event,view,time,device,section,cp,watch_time,t_gap,documentary,quiz,contest,audition,history,news,sports,drama,romantic relationship,reality,sitcom,action,talk,family,comedy,sf fantasy,sf,mid,adventure,romance,trip,game,fantasy,mini series,horror,crime,mystery,g_avg,m_avg,u_avg,um_avg,simu1,simu2,simu3,simu4,simu5,mat_fact_pred
28,28,1,2,1,1,2,1,25,1,0,1,11,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
29,29,1,2,1,1,2,1,25,1,1,2,14,1,1,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
30,30,1,2,1,1,2,1,25,1,0,2,14,1,1,1,23.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
31,31,1,2,1,1,2,1,25,1,0,2,14,1,1,1,61.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
32,32,1,2,1,1,2,1,25,1,0,2,14,1,1,1,59.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
33,33,1,2,1,1,2,1,25,1,0,2,14,1,1,1,59.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
34,34,1,2,1,1,2,1,25,1,0,2,14,1,1,1,61.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
35,35,1,2,1,1,2,1,25,1,0,2,14,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
36,36,1,2,1,1,2,1,25,1,0,2,14,1,1,1,59.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
37,37,1,2,1,1,2,1,25,1,0,2,14,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
38,38,1,2,1,1,2,1,25,1,1,2,14,1,1,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
39,39,1,2,1,1,2,1,25,1,0,2,14,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
40,40,1,2,1,1,2,1,25,1,0,2,14,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
41,41,1,2,1,1,2,1,25,1,0,2,14,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
42,42,1,2,1,1,2,1,25,1,0,2,14,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
43,43,1,2,1,1,2,1,25,1,0,2,14,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
44,44,1,2,1,1,2,1,25,1,0,2,14,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
45,45,1,2,1,1,2,1,25,1,0,2,14,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
46,46,1,2,1,1,2,1,25,1,0,2,14,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
47,47,1,2,1,1,2,1,25,1,0,2,14,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
48,48,1,2,1,1,2,1,25,1,0,2,14,1,1,1,61.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
49,49,1,2,1,1,2,1,25,1,0,2,14,1,1,1,62.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
50,50,1,2,1,1,2,1,25,1,0,2,14,1,1,1,59.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
51,51,1,2,1,1,2,1,25,1,0,2,14,1,1,1,59.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
52,52,1,2,1,1,2,1,25,1,0,2,14,1,1,1,61.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
53,53,1,2,1,1,2,1,25,1,0,2,14,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
54,54,1,2,1,1,2,1,25,1,0,2,14,1,1,1,61.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
55,55,1,2,1,1,2,1,25,1,0,2,14,1,1,1,57.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
56,56,1,2,1,1,2,1,25,1,0,2,14,1,1,1,57.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
57,57,1,2,1,1,2,1,25,1,0,2,14,1,1,1,71.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
58,58,1,2,1,1,2,1,25,1,0,2,14,1,1,1,53.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
59,59,1,2,1,1,2,1,25,1,0,2,14,1,1,1,53.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
60,60,1,2,1,1,2,1,25,1,0,2,15,1,1,1,64.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
61,61,1,2,1,1,2,1,25,1,0,2,15,1,1,1,52.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
62,62,1,2,1,1,2,1,25,1,0,2,15,1,1,1,52.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
63,63,1,2,1,1,2,1,25,1,0,2,15,1,1,1,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
64,64,1,2,1,1,2,1,25,1,0,2,15,1,1,1,56.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
65,65,1,2,1,1,2,1,25,1,0,2,15,1,1,1,52.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
66,66,1,2,1,1,2,1,25,1,0,2,15,1,1,1,52.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
67,67,1,2,1,1,2,1,25,1,0,2,15,1,1,1,80.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
68,68,1,2,1,1,2,1,25,1,0,2,15,1,1,1,57.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
69,69,1,2,1,1,2,1,25,1,0,2,15,1,1,1,63.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
70,70,1,2,1,1,2,1,25,1,0,2,15,1,1,1,80.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
71,71,1,2,1,1,2,1,25,1,0,2,15,1,1,1,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
72,72,1,2,1,1,2,1,25,1,0,2,15,1,1,1,56.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
73,73,1,2,1,1,2,1,25,1,0,2,15,1,1,1,61.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
74,74,1,2,1,1,2,1,25,1,0,2,15,1,1,1,61.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
75,75,1,2,1,1,2,1,25,1,0,2,15,1,1,1,55.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
76,76,1,2,1,1,2,1,25,1,0,2,15,1,1,1,67.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
77,77,1,2,1,1,2,1,25,1,0,2,15,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
78,78,1,2,1,1,2,1,25,1,0,2,15,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
79,79,1,2,1,1,2,1,25,1,0,2,15,1,1,1,73.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
80,80,1,2,1,1,2,1,25,1,0,2,15,1,1,1,40.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
81,81,1,2,1,1,2,1,25,1,0,2,15,1,1,1,61.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
82,82,1,2,1,1,2,1,25,1,0,2,15,1,1,1,61.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
83,83,1,2,1,1,2,1,25,1,0,2,15,1,1,1,52.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
84,84,1,2,1,1,2,1,25,1,0,2,15,1,1,1,52.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
