,user_number,title,content number,genre,loc,Weekdays/Weekends,Gender,Profession,Age,age,event,view,time,device,section,CP,watch time ( candle ),t-gap
111,1, dogs are great,103, Pets,2,1,2,1,25,1,0,2,11,1,1,1,19.0,1
112,1, dogs are great,103, Pets,2,1,2,1,25,1,0,2,11,1,1,1,57.0,1
113,1, dogs are great,103, Pets,2,1,2,1,25,1,0,2,11,1,1,1,59.0,1
114,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",6,1,2,1,25,1,1,1,17,1,5,5,0.0,3131
115,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",6,1,2,1,25,1,0,1,17,1,5,5,61.0,3131
116,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",6,1,2,1,25,1,0,1,17,1,5,5,60.0,3131
117,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",6,1,2,1,25,1,0,1,17,1,5,5,60.0,3131
118,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",6,1,2,1,25,1,0,1,17,1,5,5,59.0,3131
119,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",6,1,2,1,25,1,0,1,17,1,5,5,60.0,3131
120,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",6,1,2,1,25,1,0,1,17,1,5,5,63.0,3131
121,1, dogs are great,103, Pets,6,1,2,1,25,1,1,1,18,1,1,1,0.0,1
122,1, dogs are great,103, Pets,6,1,2,1,25,1,0,1,18,1,1,1,25.0,1
123,1, dogs are great,103, Pets,6,1,2,1,25,1,0,1,18,1,1,1,60.5,1
124,1, dogs are great,103, Pets,6,1,2,1,25,1,0,1,18,1,1,1,60.5,1
125,1, dogs are great,103, Pets,6,1,2,1,25,1,0,1,18,1,1,1,60.0,1
126,1, dogs are great,103, Pets,6,1,2,1,25,1,0,1,18,1,1,1,61.0,1
127,1, dogs are great,103, Pets,6,1,2,1,25,1,0,1,18,1,1,1,60.0,1
128,1, dogs are great,103, Pets,2,1,2,1,25,1,0,1,18,1,1,1,61.0,1
129,1, dogs are great,103, Pets,2,1,2,1,25,1,1,2,18,1,1,1,0.0,1
130,1, dogs are great,103, Pets,2,1,2,1,25,1,0,2,18,1,1,1,41.0,1
131,1, dogs are great,103, Pets,2,1,2,1,25,1,0,2,18,1,1,1,63.0,1
132,1, dogs are great,103, Pets,2,1,2,1,25,1,0,2,18,1,1,1,59.0,1
133,1, dogs are great,103, Pets,2,1,2,1,25,1,0,2,18,1,1,1,60.0,1
134,1, dogs are great,103, Pets,2,1,2,1,25,1,0,2,18,1,1,1,55.0,1
135,1, dogs are great,103, Pets,2,1,2,1,25,1,0,2,18,1,1,1,62.0,1
136,1, dogs are great,103, Pets,2,1,2,1,25,1,0,2,18,1,1,1,58.0,1
137,1, dogs are great,103, Pets,2,1,2,1,25,1,0,2,18,1,1,1,63.0,1
138,1, dogs are great,103, Pets,2,1,2,1,25,1,0,2,18,1,1,1,70.0,1
139,1, dogs are great,103, Pets,2,1,2,1,25,1,0,2,18,1,1,1,65.0,1
140,1, dogs are great,103, Pets,2,1,2,1,25,1,0,2,18,1,1,1,42.0,1
141,1, dogs are great,103, Pets,6,1,2,1,25,1,1,2,18,1,1,1,0.0,1
142,1, dogs are great,103, Pets,6,1,2,1,25,1,0,2,18,1,1,1,32.0,1
143,1, dogs are great,103, Pets,6,1,2,1,25,1,0,2,18,1,1,1,60.0,1
144,1, dogs are great,103, Pets,6,1,2,1,25,1,0,2,18,1,1,1,61.0,1
145,1, dogs are great,103, Pets,6,1,2,1,25,1,0,2,18,1,1,1,81.0,1
146,1, dogs are great,103, Pets,6,1,2,1,25,1,0,2,18,1,1,1,40.0,1
147,1, dogs are great,103, Pets,6,1,2,1,25,1,0,2,18,1,1,1,60.0,1
148,1, dogs are great,103, Pets,6,1,2,1,25,1,0,2,18,1,1,1,67.0,1
149,1, dogs are great,103, Pets,6,1,2,1,25,1,0,2,18,1,1,1,66.0,1
150,1, dogs are great,103, Pets,6,1,2,1,25,1,0,2,18,1,1,1,47.0,1
151,1, dogs are great,103, Pets,6,1,2,1,25,1,0,2,18,1,1,1,66.0,1
152,1, dogs are great,103, Pets,6,1,2,1,25,1,0,2,18,1,1,1,53.0,1
153,1, dogs are great,103, Pets,6,1,2,1,25,1,0,2,18,1,1,1,61.0,1
154,1, dogs are great,103, Pets,6,1,2,1,25,1,0,2,18,1,1,1,60.0,1
