,user_id,content_id,loc,weekdays/weekends,gender,profession,age,age_category,event,view,time,device,section,cp,watch_time,t_gap,documentary,quiz,contest,audition,history,news,sports,drama,romantic relationship,reality,sitcom,action,talk,family,comedy,sf fantasy,sf,mid,adventure,romance,trip,game,fantasy,mini series,horror,crime,mystery
31,1,2,1,1,2,1,25,1,0,2,14,1,1,1,61.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
32,1,2,1,1,2,1,25,1,0,2,14,1,1,1,59.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
33,1,2,1,1,2,1,25,1,0,2,14,1,1,1,59.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
34,1,2,1,1,2,1,25,1,0,2,14,1,1,1,61.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
35,1,2,1,1,2,1,25,1,0,2,14,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
36,1,2,1,1,2,1,25,1,0,2,14,1,1,1,59.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
37,1,2,1,1,2,1,25,1,0,2,14,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
38,1,2,1,1,2,1,25,1,1,2,14,1,1,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
39,1,2,1,1,2,1,25,1,0,2,14,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
40,1,2,1,1,2,1,25,1,0,2,14,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
41,1,2,1,1,2,1,25,1,0,2,14,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
42,1,2,1,1,2,1,25,1,0,2,14,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
43,1,2,1,1,2,1,25,1,0,2,14,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
44,1,2,1,1,2,1,25,1,0,2,14,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
45,1,2,1,1,2,1,25,1,0,2,14,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
46,1,2,1,1,2,1,25,1,0,2,14,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
47,1,2,1,1,2,1,25,1,0,2,14,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
48,1,2,1,1,2,1,25,1,0,2,14,1,1,1,61.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
49,1,2,1,1,2,1,25,1,0,2,14,1,1,1,62.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
50,1,2,1,1,2,1,25,1,0,2,14,1,1,1,59.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
